,Disease,Symptoms,Sheet Link
2562,NocturnalEnuresis(Enuresis),,
2563,NocturnalLegCramps,,
2564,NocturnalMyoclonus(PeriodicLimbMovementDisorder),,
2565,NocturnalPolyuria,,
2566,Non-24(Non-24-HourSleepWakeDisorder),,
2567,Non-24-HourDisorder(Non-24-HourSleepWakeDisorder),,
2568,Non-24-HourSleepWakeDisorder,,
2569,Non-Hodgkin'sLymphoma,,
2570,Non-SmallCellLungCancer,,
2571,NonalcoholicFattyLiverDisease,,
2572,NonalcoholicSteatohepatitis(NonalcoholicFattyLiverDisease),,
2573,NoncholestaticConjugatedHyperbilirubinemia(Hyperbilirubinemia),,
2574,NongonococcalUrethritis,,
2575,NoninfectiousColitis,,
2576,"Noninsulin-dependentDiabetes(Diabetes,Type2)",,
2577,NonketoticHyperglycemicHyperosmolarComa(NonketoticHyperosmolarSyndrome),,
2578,NonketoticHyperosmolarSyndrome,,
2579,NonobstructiveOliguria,,
2580,NonoccupationalExposure,,
2581,Nontropicalsprue(CeliacDisease),,
2582,Nontuberculousatypicalmycobacterialdisease(AtypicalMycobacterialInfection),,
2583,NonvenerealSyphilis(Bejel),,
2584,Noonan'sSyndrome,,
2585,Norovirusenteritis(InfectiousGastroenteritis),,
2586,Norwalkvirus(InfectiousGastroenteritis),,
2587,NosocomialPneumonia,,
2588,NovelH1N1Flu(SwineFlu),,
2589,NSAID-InducedGastricUlcer,,
2590,NSAID-InducedUlcerProphylaxis,,
2591,NSCLC(Non-SmallCellLungCancer),,
2592,Nutcrackeresophagus(EsophagealSpasm),,
2593,"Nutrition,Parenteral(TotalParenteralNutrition)",,
2594,NVP(Nausea&VomitingofPregnancy),,
2595,OA(Osteoarthritis),,
2596,OAB(OveractiveBladder),,
2597,Obesity,,
2598,ObsessiveCompulsiveDisorder,,
2599,ObsessiveCompulsiveHoardingDisorder(HoardingDisorder),,
2600,ObsessiveCompulsiveNeurosis(ObsessiveCompulsiveDisorder),,
2601,ObsessiveCompulsivePersonalityDisorder(ObsessiveCompulsiveDisorder),,
2602,ObstructiveSleepApnea&HypopneaSyndrome,,
2603,OccipitalNeuralgia,,
2604,OccludedAVCannulae,,
2605,OccupationalExposure,,
2606,OCD(ObsessiveCompulsiveDisorder),,
2607,OCHD(HoardingDisorder),,
2608,OCPD(ObsessiveCompulsiveDisorder),,
2609,OcularFungalInfection,,
2610,OcularHerpesSimplex(HerpeticKeratitis),,
2611,OcularRosacea,,
2612,OcularTuberculosis,,
2613,ODD(OppositionalDefiantDisorder),,
2614,OfujiDisease(EosinophilicFolliculitis),,
2615,OIC(Opioid-InducedConstipation),,
2616,Oligospermia,,
2617,Oliguria,,
2618,"Onchocerciasis,RiverBlindness",,
2619,"Onychomycosis,Fingernail",,
2620,"Onychomycosis,Toenail",,
2621,Onychomycosis,,
2622,Oophorectomy,,
2623,OphthalmicSurgery,,
2624,OphthalmicSurgicalStaining,,
2625,OphthalmicViscoelasticAgent,,
2626,OpiateAdjunct,,
2627,OpiateDependence,,
2628,OpiateWithdrawal,,
2629,Opioid-InducedConstipation,,
2630,OpioidInducedConstipation(Opioid-InducedConstipation),,
2631,OpioidOverdose,,
2632,"Opisthorchisviverrini,LiverFluke",,
2633,OppositionalDefiantDisorder,,
2634,OpticNerveDisorder,,
2635,OpticNeuritis,,
2636,OralAllergySyndrome,,
2637,OralandDentalConditions,,
2638,OralCancer(HeadandNeckCancer),,
2639,OralCandidiasis(OralThrush),,
2640,OralMoniliasis(OralThrush),,
2641,OralThrush,,
2642,OrbicularisOculi,,
2643,OrbitalInfection,,
2644,OrganophosphatePoisoning,,
2645,"OrganTransplant,RejectionProphylaxis",,
2646,"OrganTransplant,RejectionReversal",,
2647,OrganTransplant,,
2648,Ornithosis,,
2649,OroticAciduria(HereditaryOroticAciduria),,
2650,OrthopedicSurgery,,
2651,OrthostaticHypotension(Hypotension),,
2652,Osler-Weber-RenduSyndrome,,
2653,Osteoarthritis,,
2654,Osteoarthrosis(Osteoarthritis),,
2655,Osteoclastomas,,
2656,Osteodystrophy,,
2657,OsteogenesisImperfecta,,
2658,OsteogenicSarcoma,,
2659,OsteolyticBoneLesionsofMultipleMyeloma,,
2660,OsteolyticBoneMetastasesofSolidTumors,,
2661,Osteomalacia,,
2662,Osteomyelitis(Boneinfection),,
2663,Osteonecrosis(AsepticNecrosis),,
2664,Osteopenia,,
2665,Osteopetrosis,,
2666,Osteoporosis,,
2667,Osteosarcoma,,
2668,"OtitisExterna,acute(AcuteOtitisExterna)",,
2669,"OtitisExterna,chronic(OtitisExterna)",,
2670,OtitisExterna,,
2671,"OtitisMedia,acute(OtitisMedia)",,
2672,"OtitisMedia,chronic(ChronicOtitisMedia)",,
2673,OtitisMediawithPerforationofEarDrum,,
2674,OtitisMedia,,
2675,Otolaryngology(Head&NeckSurgery),,
2676,OvarianCancer,,
2677,OvarianCysts,,
2678,OveractiveBladder,,
2679,Overweight(Obesity),,
2680,OvulationInduction,,
2681,PAF(AtrialFibrillation),,
2682,Paget'sDisease,,
2683,PAH(PulmonaryHypertension),,
2684,Pain&Fever,,
2685,"Pain,ankle(MusclePain)",,
2686,"Pain,back(BackPain)",,
2687,"Pain,breakthrough(BreakthroughPain)",,
2688,"Pain,calf(MusclePain)",,
2689,"Pain,elbow(MusclePain)",,
2690,"Pain,wrist(MusclePain)",,
2691,Painfulcoitus(female)(Dyspareunia),,
2692,Painfulintercourse(Dyspareunia),,
2693,Pain,,
2694,Palmarfibromatosis(Dupuytren'scontracture),,
2695,Palmo-plantarPsoriasis(Psoriasis),,
2696,Palpitations(Arrhythmia),,
2697,PancreaticCancer,,
2698,PancreaticCarcinoma(PancreaticCancer),,
2699,PancreaticExocrineDysfunction,,
2700,PancreaticSecretion,,
2701,Pancreatitis,,
2702,Pancytopenia,,
2703,PANDASSyndrome,,
2704,Panhypopituitarism,,
2705,Panic(PanicDisorder),,
2706,PanicAttacks(PanicDisorder),,
2707,PanicDisorder,,
2708,Panuveitis,,
2709,PapilledemaAssociatedwithIncreasedIntracranialPressure,,
2710,PapilledemaAssociatedwithRetinalDisorder,,
2711,Paracoccidioidomycosis,,
2712,ParadoxicalVocalCordDysfunction(PVCD)(VocalCordDysfunction),,
2713,ParadoxicalVocalCordMotionDisorder(PVCM)(VocalCordDysfunction),,
2714,"Paragonimuswestermani,LungFluke",,
2715,ParalyticDisorder,,
2716,Paralyticileus(IntestinalObstruction),,
2717,Parangi(Yaws),,
2718,ParanoidDisorder,,
2719,ParanoidPersonalityDisorder(ParanoidDisorder),,
2720,ParanoidSchizophrenia(Schizophrenia),,
2721,Paraplegia(SpinalCordTrauma),,
2722,ParenteralNutrition(TotalParenteralNutrition),,
2723,Parkinson'sDiseasePsychosis,,
2724,Parkinson'sDisease,,
2725,ParkinsonianTremor,,
2726,Parkinsonism,,
2727,Paronychia,,
2728,ParoxysmalAtrialFibrillation(AtrialFibrillation),,
2729,ParoxysmalAtrialTachycardia(ParoxysmalSupraventricularTachycardia),,
2730,ParoxysmalJunctionalTachycardia,,
2731,ParoxysmalNocturnalHemoglobinuria,,
2732,ParoxysmalSupraventricularTachycardia,,
2733,ParsonageTurnerSyndrome(BrachialPlexopathy),,
2734,PatellofemoralPainSyndrome(MusclePain),,
2735,PatencyMaintenanceofIndwellingIntravenousDevices,,
2736,PatentDuctusArteriosus,,
2737,"PathologicalFracture(Fracture,bone)",,
2738,PathologicalHypersecretoryConditions,,
2739,PathologicalHypersecretoryDisorder,,
2740,PathologicalSkinPicking(ExcoriationDisorder),,
2741,Pavornocturnus(NightTerrors),,
2742,PBA(PseudobulbarAffect),,
2743,PCOS(PolycysticOvarySyndrome),,
2744,PDD(PostpartumDepression),,
2745,PediatricAngiocardiography,,
2746,PediatricAutoimmuneNeuropsychiatricDisordersAssociatedwithStreptococcalInfections(PANDASSyndrome),,
2747,PediatricGrowthHormoneDeficiency,,
2748,"Pediculosis,pubiclice(Lice)",,
2749,"Pediculosiscapitis,headlice(HeadLice)",,
2750,Pellagra,,
2751,PelvicInfections,,
2752,PelvicInflammatoryDisease,,
2753,Pemphigoid,,
2754,Pemphigus,,
2755,PenicillinSensitizationTesting,,
2756,Peniledisorders(PenisDisorders),,
2757,PenisDisorders,,
2758,PepticUlcerwithHemorrhage&Perforation&Obstruction,,
2759,PepticUlcerwithHemorrhageandObstruction,,
2760,PepticUlcerwithHemorrhageandPerforation,,
2761,PepticUlcerwithHemorrhage,,
2762,PepticUlcerwithObstruction,,
2763,PepticUlcerwithPerforationandObstruction,,
2764,PepticUlcerwithPerforation,,
2765,PepticUlcer,,
2766,PercutaneousCoronaryIntervention,,
2767,PerforatedTympanicMembrane,,
2768,PerformanceAnxiety,,
2769,PeriapicalAbscess(DentalAbscess),,
2770,PericardialTamponade,,
2771,"Pericarditis,afterheartattack(Pericarditis)",,
2772,Pericarditis,,
2773,PerimenopausalSymptoms,,
2774,PeriodicFeverSyndrome,,
2775,PeriodicLimbMovementDisorder,,
2776,Periodontitis,,
2777,PeriodPain(Dysmenorrhea),,
2778,PerioralDermatitis,,
2779,PeripartumCardiomyopathy(Cardiomyopathy),,
2780,PeripheralAngiography,,
2781,PeripheralArterialDisease,,
2782,PeripheralArteriography,,
2783,PeripheralArteryDisease(PeripheralArterialDisease),,
2784,PeripheralNeuropathy,,
2785,PeripheralProgenitorCellTransplantation,,
2786,PeripheralT-cellLymphoma,,
2787,PeripheralVascularDisease(PeripheralArterialDisease),,
2788,PeritonealCancer,,
2789,Peritonealcarcinoma(PeritonealCancer),,
2790,Peritonealdialysis,,
2791,Peritonitis,,
2792,PeriungualWarts(Warts),,
2793,Perleche(AngularCheilitis),,
2794,PerniciousAnemia,,
2795,PeronealMuscularAtrophy(Charcot-Marie-ToothDisease),,
2796,PersianGulfSyndrome(GulfWarSyndrome),,
2797,PersistentDepressiveDisorder,,
2798,"PersistingPain,Shingles(PostherpeticNeuralgia)",,
2799,"PersonalityDisorder,Borderline(BorderlinePersonalityDisorder)",,
2800,"PersonalityDisorder,Multilple(DissociativeIdentityDisorder)",,
2801,"PersonalityDisorder,Split(DissociativeIdentityDisorder)",,
2802,PertussisProphylaxis,,
2803,Pertussis,,
2804,PETImaging(PositronEmissionTomographyImaging),,
2805,PETubes(TympanostomyTubePlacementSurgery),,
2806,Peyronie'sDisease,,
2807,"Pharyngitis,streptococcal(StrepThroat)",,
2808,Pharyngitis,,
2809,Phenylketonuria,,
2810,PheochromocytomaDiagnosis,,
2811,Pheochromocytoma,,
2812,"Phobia,social(SocialAnxietyDisorder)",,
2813,PhosphateImbalance,,
2814,PhotoagingoftheSkin(Dermatoheliosis),,
2815,PhysicalUrticaria,,
2816,PhysiologicOvarianCysts(OvarianCysts),,
2817,Piles(Hemorrhoids),,
2818,Pimples(Acne),,
2819,Pinta,,
2820,PinwormInfection(Enterobiusvermicularis),,
2821,Pinworms(PinwormInfection(Enterobiusvermicularis)),,
2822,PituitaryAdenoma,,
2823,Pituitaryinsufficiency(Hypopituitarism),,
2824,PituitaryTumor,,
2825,Pityriasisrubrapilaris,,
2826,Pityriasisversicolor(TineaVersicolor),,
2827,PKD(PolycysticKidneyDisease),,
2828,PKU(Phenylketonuria),,
2829,PlagueProphylaxis,,
2830,Plague,,
2831,Plantarfascialfibromatosis(PlantarFibromatosis),,
2832,PlantarFasciitis,,
2833,PlantarFibromatosis,,
2834,PlantarWarts(Warts),,
2835,"Plaquebuildup,arteries(Atherosclerosis)",,
2836,PlaquePsoriasis,,
2837,PlasmaCellDyscrasia(MultipleMyeloma),,
2838,PlasmaCellMyeloma(MultipleMyeloma),,
2839,PlasmacytomaofBone(MultipleMyeloma),,
2840,PlateletAggregationInhibition,,
2841,"PleuralEffusion,Bacterial",,
2842,PleuralEffusion,,
2843,PleuropulmonaryInfection,,
2844,PLMD(PeriodicLimbMovementDisorder),,
2845,PMDD(PremenstrualDysphoricDisorder),,
2846,PMS(PremenstrualSyndrome),,
2847,PMT(PremenstrualSyndrome),,
2848,PND(PostpartumDepression),,
2849,PneumococcalDiseaseProphylaxis,,
2850,PneumocystisPneumoniaProphylaxis,,
2851,PneumocystisPneumonia,,
2852,"Pneumonia,cytomegalovirus(CMVPneumonia)",,
2853,PneumoniawithCysticFibrosis,,
2854,Pneumonia,,
2855,Pneumonicplague(Plague),,
2856,PoisoningbyVitamins,,
2857,Poisoning,,
2858,PoisonIvy,,
2859,PoisonOak,,
2860,PoisonSumac,,
2861,PoliomyelitisProphylaxis,,
2862,Polyarteritis,,
2863,Polychondritis,,
2864,PolycysticKidneyDisease,,
2865,PolycysticOvarySyndrome,,
2866,PolycythemiaVera,,
2867,Polycythemia,,
2868,Polydipsia,,
2869,Polyfollicularovariandisease(PolycysticOvarySyndrome),,
2870,PolymyalgiaRheumatica,,
2871,Polymyositis&Dermatomyositis,,
2872,Polypapillomatropicum(Yaws),,
2873,"Polyps,Nasal(NasalPolyps)",,
2874,Pompedisease,,
2875,PorkTapewormInfection(Taeniasolium),,
2876,Porphyria,,
2877,PortalHypertension,,
2878,PortalPyemia,,
2879,PositronEmissionTomographyImaging,,
2880,Post-cardiacinjurysyndrome(Pericarditis),,
2881,Post-CholecystectomyDiarrhea,,
2882,Post-MIpericarditis(Pericarditis),,
2883,Post-NasalDrip(Rhinorrhea),,
2884,Post-PolioSyndrome,,
2885,Post-ViralFatigueSyndrome(ChronicFatigueSyndrome),,
2886,PostanestheticShivering,,
2887,PostanginalSepticemia(Lemierre'sSyndrome),,
2888,Postcardiotomypericarditis(Pericarditis),,
2889,PostCholecystectomyDiarrhea(Post-CholecystectomyDiarrhea),,
2890,PostcoitalContraception(EmergencyContraception),,
2891,PosteriorEncephalopathyReversibleSyndrome(PosteriorReversibleEncephalopathySyndrome),,
2892,PosteriorReversibleEncephalopathySyndrome,,
2893,PostherpeticNeuralgia,,
2894,PostmenopausalSymptoms,,
2895,PostMISyndrome,,
2896,Postmyocardialinfarctionsyndrome(PostMISyndrome),,
2897,PostnatalDepression(PostpartumDepression),,
2898,PostoperativeAlbuminLoss,,
2899,PostoperativeGasPains,,
2900,PostoperativeIleus,,
2901,PostoperativeIncreasedIntraocularPressure,,
2902,PostoperativeInfection,,
2903,PostoperativeOcularInflammation,,
2904,PostoperativePain,,
2905,PostpartumBleeding,,
2906,PostpartumBreastPain,,
2907,PostpartumDepression,,
2908,PostTraumaticStressDisorder,,
2909,PosturalOrthostaticTachycardiaSyndrome,,
2910,PosturalTachycardiaSyndrome(PosturalOrthostaticTachycardiaSyndrome),,
2911,POTS(PosturalOrthostaticTachycardiaSyndrome),,
2912,Pouchitis,,
2913,PPD(ParanoidDisorder),,
2914,Prader-WilliSyndrome,,
2915,Pre-Diabetes,,
2916,Pre-ExposureProphylaxisHIVInfection(Pre-ExposureProphylaxis),,
2917,Pre-ExposureProphylaxis,,
2918,Precancerouschangesofthecervix(CervicalDysplasia),,
2919,PrecociousPuberty,,
2920,Preeclampsia(Toxemiaofpregnancy),,
2921,PreexcitationSyndrome,,
2922,Pregnancy-inducedhypertension(Toxemiaofpregnancy),,
2923,PrematureAtrialDepolarizations,,
2924,PrematureEjaculation,,
2925,PrematureLabor,,
2926,PrematureVentricularDepolarizations,,
2927,Prematurity&UnderweightinInfancy,,
2928,PremenopausalAnovulation,,
2929,PremenstrualDysphoricDisorder,,
2930,PremenstrualSyndrome,,
2931,PremenstrualTension(PremenstrualSyndrome),,
2932,"PreoperativeSkinDisinfection(SkinDisinfection,Preoperative)",,
2933,PrEP(Pre-ExposureProphylaxis),,
2934,PrepubertalCryptorchidism,,
2935,PRES(PosteriorReversibleEncephalopathySyndrome),,
2936,PresenileDementia(Alzheimer'sDisease),,
2937,PressureSores(DermalUlcer),,
2938,PressureUlcers(DermalUlcer),,
2939,PreventionofAtherothromboticEvents,,
2940,PreventionofBladderinfection(CystitisProphylaxis),,
2941,"PreventionofBreastCancer(BreastCancer,Prevention)",,
2942,PreventionofCardiovascularDisease,,
2943,PreventionofClostridiumDifficileInfectionRecurrence,,
2944,PreventionofDentalCaries,,
2945,PreventionofFalls,,
2946,PreventionofFractures,,
2947,PreventionofHypokalemia,,
2948,"PreventionofNasalPolyps(NasalPolyps,Prevention)",,
2949,PreventionofOsteoporosis,,
2950,PreventionofPerinatalGroupBStreptococcalDisease,,
2951,PreventionofPoisonIvy,,
2952,PreventionofRadiographicContrastNephropathy,,
2953,PreventionofSunburn,,
2954,PreventionofThromboembolisminAtrialFibrillation,,
2955,Priapism,,
2956,PrimaryAdrenocorticalInsufficiency(Addison'sDisease),,
2957,PrimaryHIVInfection(HIVInfection),,
2958,PrimaryHyperaldosteronismDiagnosis,,
2959,PrimaryHyperaldosteronism,,
2960,PrimaryHyperparathyroidism,,
2961,"PrimaryHypogonadism-Male(Hypogonadism,Male)",,
2962,PrimaryIGF-1Deficiency,,
2963,PrimaryImmunodeficiencySyndrome,,
2964,Primarymyelofibrosis(Myelofibrosis),,
2965,primaryneuroendocrinecarcinomaoftheskin(MerkelCellCarcinoma),,
2966,PrimaryNocturnalEnuresis,,
2967,PrimaryOvarianFailure,,
2968,PrimaryPeriodicParalysis,,
2969,Primaryperitonealcancer(PeritonealCancer),,
2970,PrimitiveNeuroectodermalTumors(Ewing'sSarcoma),,
2971,Prinzmetal'sAngina,,
2972,Proctitis,,
2973,ProductionofMiosis,,
2974,ProgesteroneInsufficiency,,
2975,ProgressiveAngina(Angina),,
2976,Progressivesystemicsclerosis(Scleroderma),,
2977,Prolapsingmitralleafletsyndrome(MitralValveProlapse),,
2978,"Prostate,enlarged(BenignProstaticHyperplasia)",,
2979,ProstateCancer,,
2980,Prostatectomy(TransurethralProstatectomy),,
2981,"ProstateTumor,Benign",,
2982,Prostatitis,,
2983,ProstheticArthroplasty,,
2984,"ProstheticHeartValves,MechanicalValves-ThrombosisProphylaxis",,
2985,"ProstheticHeartValves,TissueValves-ThrombosisProphylaxis",,
2986,ProstheticHeartValves-ThrombosisProphylaxis,,
2987,ProteinCDeficiency,,
2988,ProteinSDeficiency,,
2989,Proteinuria,,
2990,ProthrombinG20210AMutation(Thrombotic&ThromboembolicDisorder),,
2991,PRP(Pityriasisrubrapilaris),,
2992,Prune-BellySyndrome,,
2993,PruritusAni(AnalItching),,
2994,PruritusofPartialBiliaryObstruction,,
2995,Pruritus,,
2996,Psammomacarcinoma(PeritonealCancer),,
2997,"Pseudo-obstruction,intestinal(IntestinalObstruction)",,
2998,Pseudoallescheriosis,,
2999,PseudobulbarAffect,,
3000,Pseudofolliculitisbarbae(TineaBarbae),,
3001,"Pseudogout,Prophylaxis",,
3002,Pseudogout,,
3003,Pseudohypoparathyroidism,,
3004,PseudomembranousColitis,,
3005,Pseudophakia,,
3006,PseudotumorCerebri,,
3007,Psittacosis,,
3008,Psoriasisvulgaris(PlaquePsoriasis),,
3009,Psoriasis,,
3010,PsoriaticArthritis,,
3011,PsoriaticArthropathy,,
3012,PSTD(PostTraumaticStressDisorder),,
3013,PsychiatricDisorders,,
3014,PsychogenicPain(SomatoformPainDisorder),,
3015,Psychosis,,
3016,PsychosomaticPain(SomatoformPainDisorder),,
3017,PsychoticDepression(DepressivePsychosis),,
3018,PTCL(PeripheralT-cellLymphoma),,
3019,PTSD(PostTraumaticStressDisorder),,
3020,PubertalGynecomastia,,
3021,PubicLice(Lice),,
3022,PudendalNeuralgia,,
3023,PulmonaryArterialHypertension(PulmonaryHypertension),,
3024,PulmonaryEdema,,
3025,"PulmonaryEmbolism,FirstEvent",,
3026,"PulmonaryEmbolism,RecurrentEvent",,
3027,PulmonaryEmbolism,,
3028,PulmonaryEosinophilia(Loeffler'sSyndrome),,
3029,"Pulmonaryfibrosis,fromasbestosexposure(PulmonaryFibrosis)",,
3030,PulmonaryFibrosis,,
3031,PulmonaryHeartorVascularDisease,,
3032,PulmonaryHemorrhage,,
3033,PulmonaryHypertension,,
3034,PulmonaryImpairment,,
3035,PulmonaryLymphangioleiomyomatosis(Lymphangioleiomyomatosis),,
3036,PulmonaryThromboembolism,,
3037,PulmonaryTuberculosis,,
3038,PulmonaryValveReplacement(ProstheticHeartValves-ThrombosisProphylaxis),,
3039,PupillaryDilation,,
3040,PureRedCellAplasia,,
3041,Puru-puru(Pinta),,
3042,PustularPsoriasis(Psoriasis),,
3043,Pyelonephritis(KidneyInfections),,
3044,PyodermaGangrenosum,,
3045,Pyrosis(GERD),,
3046,QFever,,
3047,Quadriplegia(SpinalCordTrauma),,
3048,Queryfever(QFever),,
3049,Quincke'sdisease(HereditaryAngioedema),,
3050,RA(RheumatoidArthritis),,
3051,RabbitFever(Tularemia),,
3052,RabiesProphylaxis,,
3053,Radiationcystitis(AlkylatingAgentCystitis),,
3054,RadiationEmergency,,
3055,RadiationInjuryofBone,,
3056,Radiculopathy,,
3057,RadiographicExam,,
3058,RadionuclideMyocardialPerfusionStudy,,
3059,Ragpicker'sdisease(Anthrax),,
3060,RamsayHuntSyndrome,,
3061,RapidlyProgressiveGlomerulonephritis(Glomerulonephritis),,
3062,Rash(SkinRash),,
3063,Rat-biteFever,,
3064,Raynaud'sDisease(Raynaud'sSyndrome),,
3065,Raynaud'sPhenomenon(Raynaud'sSyndrome),,
3066,Raynaud'sSyndrome,,
3067,ReactiveArthritis(Reiter'sSyndrome),,
3068,ReactivePerforatingCollangenosis,,
3069,RectalCancer(ColorectalCancer),,
3070,RedEye(EyeRedness),,
3071,RedNeuralgia(Erythromelalgia),,
3072,ReducingRiskofHIVInfection(Pre-ExposureProphylaxis),,
3073,ReductionofPerinatalTransmissionofHIV,,
3074,ReflexSympatheticDystrophySyndrome,,
3075,Reflux(GERD),,
3076,"Refraction,Assessment",,
3077,Refsum'sDisease,,
3078,Reiter'sSyndrome,,
3079,RejectionProphylaxis,,
3080,RejectionReversal,,
3081,REMSleepBehaviorDisorder,,
3082,RenalAngiomyolipoma,,
3083,RenalArteriography,,
3084,RenalArteryAtherosclerosis,,
3085,Renalcalculi(UrinaryTractStones),,
3086,RenalCancer(RenalCellCarcinoma),,
3087,RenalCellCarcinoma,,
3088,RenalDysfunction,,
3089,RenalFailure,,
3090,RenalOsteodystrophy,,
3091,RenalTractStones(UrinaryTractStones),,
3092,RenalTransplant,,
3093,RenalTubularAcidosis,,
3094,RenalVeinThrombosis,,
3095,RenovascularHypertension,,
3096,ResidualSchizophrenia(Schizophrenia),,
3097,RespiratoryArrest,,
3098,RespiratoryDepression,,
3099,RespiratoryDistressSyndrome,,
3100,RespiratoryFailure,,
3101,Respiratoryinsufficiency(RespiratoryDepression),,
3102,RespiratorySyncytialVirus,,
3103,RespiratoryTractDisease,,
3104,"RespiratoryTractInfection,Upper(UpperRespiratoryTractInfection)",,
3105,RestlessLegsSyndrome,,
3106,RestrictiveCardiomyopathy,,
3107,RetinalDisorders,,
3108,RetinalHemorrhage,,
3109,RetinalVasculitis,,
3110,RetinitisPigmentosa,,
3111,RetinopathyProphylaxis,,
3112,Retinopathy,,
3113,"RevascularizationProcedures,Prophylaxis",,
3114,RevascularizationProcedures,,
3115,ReversalofAcquiredCoagulationFactorDeficiency,,
3116,ReversalofAnesthesia,,
3117,ReversalofDabigatranAnticoagulation,,
3118,ReversalofDipyridamoleDuringMyocardialImaging,,
3119,ReversalofNeuromuscularBlockade,,
3120,ReversalofNondepolarizingMuscleRelaxants,,
3121,ReversalofOpioidSedation,,
3122,ReversalofSedation,,
3123,"ReversibleAirwaysDisease,Maintenance",,
3124,ReversibleAirwaysDisease,,
3125,ReversiblePosteriorLeukoencephalopathySyndrome(PosteriorReversibleEncephalopathySyndrome),,
3126,Reye'sSyndrome,,
3127,Rh-Isoimmunization,,
3128,Rhabdomyosarcoma,,
3129,RheumaticFeverProphylaxis,,
3130,RheumaticFever,,
3131,RheumaticHeartDisease,,
3132,RheumatoidArthritis,,
3133,RheumatoidLung,,
3134,Rheumatoidpneumoconiosis(RheumatoidLung),,
3135,Rhinitis,,
3136,Rhinorrhea,,
3137,Rickets,,
3138,RickettsialInfection,,
3139,Ringworm(TineaCorporis),,
3140,"Ringworm,Beard(TineaBarbae)",,
3141,"Ringworm,Body(TineaCorporis)",,
3142,"Ringworm,Foot(TineaPedis)",,
3143,"Ringworm,Groin(TineaCruris)",,
3144,"Ringworm,Scalp(TineaCapitis)",,
3145,RLS(RestlessLegsSyndrome),,
3146,RodentUlcer(BasalCellCarcinoma),,
3147,Rosacea,,
3148,RotatorCuffInjury(MusclePain),,
3149,Rotaviralenteritis(InfectiousGastroenteritis),,
3150,Rotor'sSyndrome(Hyperbilirubinemia),,
3151,RPLS(PosteriorReversibleEncephalopathySyndrome),,
3152,RSD(ReflexSympatheticDystrophySyndrome),,
3153,RSDS(ReflexSympatheticDystrophySyndrome),,
3154,RSV(RespiratorySyncytialVirus),,
3155,RTA(RenalTubularAcidosis),,
3156,RubellaProphylaxis,,
3157,Rubella,,
3158,RunnyNose(Rhinorrhea),,
3159,RuptureofBladder,,
3160,SacroiliacArthritis(Osteoarthritis),,
3161,SalivaryGlandCancer,,
3162,SalmonellaEntericFever,,
3163,SalmonellaExtraintestinalInfection,,
3164,SalmonellaGastroenteritis,,
3165,SanJoaquinValleyfever(Coccidioidomycosis),,
3166,SAPHOSyndrome,,
3167,Sarcoidosis-nervoussystem(Neurosarcoidosis),,
3168,Sarcoidosis,,
3169,Sarcomabotryoides(SoftTissueSarcoma),,
3170,SBBOS(SmallBowelBacterialOvergrowth),,
3171,Scabies,,
3172,Scalp-picker'sNodule(LichenSimplexChronicus),,
3173,Scarlatina(StreptococcalInfection),,
3174,Scarletfever(StreptococcalInfection),,
3175,SCC(SquamousCellCarcinoma),,
3176,SchillingTest,,
3177,Schistosomahaematobium,,
3178,Schistosomajaponicum,,
3179,Schistosomamansoni,,
3180,Schistosomamekongi,,
3181,SchizoaffectiveDisorder,,
3182,"Schizophrenia,catatonic(Schizophrenia)",,
3183,"Schizophrenia,disorganized(Schizophrenia)",,
3184,"Schizophrenia,paranoid(Schizophrenia)",,
3185,"Schizophrenia,residual(Schizophrenia)",,
3186,"Schizophrenia,undifferentiated(Schizophrenia)",,
3187,Schizophrenia,,
3188,SchnitzlerSyndrome,,
3189,Sciatica,,
3190,SCLC(SmallCellLungCancer),,
3191,Scleroderma,,
3192,Scoliosis,,
3193,ScorpionEnvenomation(VenomousScorpionBite),,
3194,ScorpionStings(VenomousScorpionBite),,
3195,Scrapes,,
3196,Scurvy,,
3197,SDAT(Alzheimer'sDisease),,
3198,SeaSickness(MotionSickness),,
3199,SeasonalAffectiveDisorder,,
3200,SeasonalAllergicConjunctivitis,,
3201,SeborrheicDermatitis,,
3202,SeborrheicKeratosis,,
3203,SecondaryCutaneousBacterialInfections,,
3204,SecondaryHyperparathyroidism,,
3205,Secondarymyelofibrosis(Myelofibrosis),,
3206,Sedation,,
3207,SedativeWithdrawal,,
3208,SEGA(SubependymalGiantCellAstrocytoma),,
3209,SeizurePrevention(SeizureProphylaxis),,
3210,SeizureProphylaxis(SeizurePrevention),,
3211,SeizureProphylaxisDuringorFollowingNeurosurgery,,
3212,Seizures(Convulsions),,
3213,Seizures,,
3214,Seminoma(TesticularCancer),,
3215,SeniledementiaAlzheimer'sType(Alzheimer'sDisease),,
3216,Sepsis,,
3217,Septicemia,,
3218,Septicemicplague(Plague),,
3219,SerosalCavityNeoplasticDisease,,
3220,Serouspapillarycarcinoma(PeritonealCancer),,
3221,Seroussurfacepapillarycarcinoma(PeritonealCancer),,
3222,SerumSickness,,
3223,SevereMoodDysregulation,,
3224,SexualDisorders,,
3225,"SexualDysfunction,Male(ErectileDysfunction)",,
3226,"SexualDysfunction,SSRIInduced",,
3227,SexuallyTransmittedDiseases,,
3228,SFN(SmallFiberNeuropathy),,
3229,SFSN(SmallFiberNeuropathy),,
